NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원)
21,서울특별시 노원구 상계동,734-3,734,3,노빌리안골드,월세,27.72,202407,30,500,55,6,2004,노해로 452,202409~202509,신규,-,,
22,서울특별시 노원구 중계동,509-1,509,1,씨앤미,전세,50.35,202407,27,"18,400",0,8,2004,동일로204가길 34,202410~202610,갱신,사용,"17,850",0
23,서울특별시 노원구 상계동,341-5,341,5,큐비스트빌딩,월세,17.28,202407,26,500,49,5,2013,상계로 84,202407~202507,신규,-,,
24,서울특별시 노원구 상계동,341-15,341,15,마블러스2,월세,32.6,202407,26,"1,000",60,6,2003,상계로 90,202408~202508,신규,-,,
25,서울특별시 노원구 상계동,341-15,341,15,마블러스2,월세,32.6,202407,26,"1,000",60,8,2003,상계로 90,202409~202509,신규,-,,
26,서울특별시 노원구 상계동,341-15,341,15,마블러스2,월세,32.6,202407,26,"1,000",60,6,2003,상계로 90,202408~202508,신규,-,,
27,서울특별시 노원구 상계동,1267,1267,0,토마토파르코,월세,36.77,202407,25,"2,000",55,8,2005,동일로 1700,202408~202508,신규,-,,
28,서울특별시 노원구 중계동,506,506,0,-506,월세,72.55,202407,25,"1,000",130,9,2005,동일로203가길 29,202408~202501,신규,-,,
29,서울특별시 노원구 상계동,734-3,734,3,노빌리안골드,월세,27.72,202407,24,"4,000",35,8,2004,노해로 452,202407~202607,신규,-,,
30,서울특별시 노원구 상계동,706-2,706,2,노원역 보미더클래스 오피스텔,전세,29.26,202407,23,"24,000",0,20,2023,상계로 32,202408~202608,신규,-,,
31,서울특별시 노원구 상계동,1258,1258,0,오피앙,월세,23.37,202407,22,500,50,9,2004,동일로 1701,202407~202507,신규,-,,
32,서울특별시 노원구 중계동,506,506,0,-506,전세,80.96,202407,21,"43,000",0,7,2005,동일로203가길 29,202408~202608,신규,-,,
33,서울특별시 노원구 중계동,360-12,360,12,새롬스타빌,월세,28.2,202407,20,500,60,6,2002,한글비석로 233,202408~202508,신규,-,,
34,서울특별시 노원구 월계동,366-3,366,3,카펠라오피스텔,월세,30,202407,20,"1,000",60,6,2003,광운로 86,202408~202508,신규,-,,
35,서울특별시 노원구 상계동,341-5,341,5,큐비스트빌딩,월세,17.61,202407,20,500,49,5,2013,상계로 84,202408~202508,신규,-,,
36,서울특별시 노원구 상계동,1262,1262,0,하이베라스,전세,36.29,202407,19,"14,000",0,4,2003,동일로 1689,202407~202607,신규,-,,
37,서울특별시 노원구 월계동,379-17,379,17,모두스타빌,월세,12.93,202407,18,"9,300",2,7,2020,석계로18길 8,202408~202508,갱신,-,"10,000",0
38,서울특별시 노원구 상계동,1267,1267,0,토마토파르코,월세,36.77,202407,18,"1,000",65,3,2005,동일로 1700,202407~202507,신규,-,,
39,서울특별시 노원구 월계동,379-17,379,17,모두스타빌,전세,12.93,202407,18,"10,000",0,7,2020,석계로18길 8,202408~202508,갱신,-,"10,000",0
40,서울특별시 노원구 상계동,706-2,706,2,노원역 보미더클래스 오피스텔,월세,18.96,202407,15,"2,000",75,8,2023,상계로 32,202407~202507,신규,-,,
41,서울특별시 노원구 상계동,706-2,706,2,노원역 보미더클래스 오피스텔,월세,29.26,202407,15,"2,000",100,12,2023,상계로 32,202407~202507,신규,-,,
42,서울특별시 노원구 상계동,1258,1258,0,오피앙,월세,23.37,202407,13,500,48,13,2004,동일로 1701,202408~202508,신규,-,,
43,서울특별시 노원구 상계동,1267,1267,0,토마토파르코,월세,36.77,202407,12,"1,000",65,10,2005,동일로 1700,202407~202501,신규,-,,
44,서울특별시 노원구 중계동,506,506,0,-506,월세,41.68,202407,12,"1,000",77,5,2005,동일로203가길 29,202407~202507,신규,-,,
45,서울특별시 노원구 상계동,341-15,341,15,마블러스2,월세,25.05,202407,10,"2,000",40,7,2003,상계로 90,202407~202507,신규,-,,
46,서울특별시 노원구 상계동,1258,1258,0,오피앙,월세,27.78,202407,10,"1,000",52,15,2004,동일로 1701,202409~202509,신규,-,,
